date_documented,year_found,Season,Country_Code,Country,Location,latitude,longitude,UFO_shape,length_of_encounter_seconds,Description,,,,,,
2/1/2007,2002,Autumn,PHL,Philippines,Romblon,12.879721,121.774017,Changing,180,ufo appeared at the sky while we&#39re eating,,,,,,
12/9/2003,2002,Autumn,PHL,Philippines,Romblon,12.879721,121.774017,Unknown,900,It was night of the month of november&#44 there was an electric failure&#44 so the whole place was dark. Me and my sister are fond of looking,,,,,,
7/26/2002,2002,Summer,PHL,Philippines,South Cotabato,6.216667,125.066667,Cigar,7,An object&#44 a wingless aircraft&#44 resembling a giant silver colored cucumber the size of a modern Airbus hovers motionless approximately,,,,,,
10/15/2002,2002,Autumn,THA,Thailand,Phetchabun Province,15.870032,100.992541,Changing,600,you can see or documented another type ball of lights which be appearing in northeast thailand soon before end of oct. 26  2002,,,,,,
12/12/2011,2003,Spring,KHM,Cambodia,Siem Reap,13.691538,104.100133,Disk,60,Very close observation of a disc shaped craft.,,,,,,
10/31/2003,2003,Autumn,IDN,Indonesia,Central Java,-7.33683,110.498817,Disk,22,UFO in Salatiga&#44Indonesia,,,,,,
3/21/2003,2003,Winter,MYS,Malaysia,Johor,1.537886,103.660874,Disk,300,a disk shape object moving with high speed,,,,,,
12/19/2003,2003,Winter,MYS,Malaysia,Kedah,5.664394,100.901578,Circle,240,the object flying over the coconut thress for about 4 minutes and then disappeared.,,,,,,
3/21/2003,2003,Winter,MYS,Malaysia,Penang,5.263234,100.484623,Light,10,12 Objects With Yellow Light At 12:45 a.m.,,,,,,
3/21/2003,2003,Winter,MYS,Malaysia,Pahang,3.792596,101.858394,Fireball,1200,Red moving objects in the sky.,,,,,,
3/21/2003,2003,Winter,MYS,Malaysia,Johor,1.537886,103.660874,Fireball,180,saw UFO again and again,,,,,,
3/21/2003,2003,Winter,MYS,Malaysia,Kuala Lumpur,3.139003,101.686855,Unknown,300,4 glowing and moving objects&#44 halogen colour&#44 slightly bigger than a tennis ball.  The sky was very clear with patches of white clouds.,,,,,,
3/21/2003,2003,Winter,MYS,Malaysia,Selangor,3.013086,101.613804,Light,900,strange object with amber lights able to travel at a speed I have never seen before,,,,,,
7/16/2003,2003,Summer,MYS,Malaysia,Kuala Lumpur,3.139003,101.686855,Oval,210,So gra...eat,,,,,,
4/22/2003,2003,Spring,PHL,Philippines,Eastern Manila District,14.676041,121.0437,Disk,300,i was walking in our newly bought land at the province when suddenly i caughta glimpse at a mysterious saucer-like object in the sky. a,,,,,,
8/28/2003,2003,Summer,PHL,Philippines,Agus,10.266182,123.997295,Disk,30,I am looking at the clear skies near near the airplane path from Davao City to Cebu City. I was at my verandah in my home&#44 when I saw t,,,,,,
8/28/2003,2003,Summer,PHL,Philippines,Romblon,12.879721,121.774017,Light,120,formation of lights surrounding an unusual figure shaped like a fish,,,,,,
9/4/2003,2003,Summer,SG,Singapore,Singapore,1.352083,103.819836,Unknown,120,Moon-like object spotted up in the sky next to the sun during the afternoon,,,,,,
3/9/2004,2003,Autumn,THA,Thailand,Surat Thani Province,9.512017,100.013593,Changing,3600,Dramatic prove of E.T. visiting earth&#33,,,,,,
8/11/2004,2004,Summer,IDN,Indonesia,Kelapa Gading Barat,-6.15129,106.89078,Oval,120,Morphing glowing orange oval object seen on a flight from Jakarta to Tokyo,,,,,,
8/24/2004,2004,Winter,MYS,Malaysia,Sarawak,2.557429,113.001199,Other,14400,UFO bird style.,,,,,,
4/27/2004,2004,Spring,MYS,Malaysia,Negeri Sembilan,2.718592,101.948988,Other,300,Strange star busting through the sky.,,,,,,
4/9/2004,2004,Spring,MYS,Malaysia,Kuala Lumpur,3.139003,101.686855,Disk,600,i saw it in bright daylight&#44 and i cant figure out what artificial aircraft is so ...........,,,,,,
4/27/2004,2004,Spring,MYS,Malaysia,Kuala Lumpur,3.13192,101.684059,Disk,120,HBCCUFO CANADIAN REPORT:  A black object which was hovering close by.,,,,,,
7/25/2004,2004,Summer,MYS,Malaysia,Kuala Lumpur,3.139003,101.686855,Other,5,star shape object moving at high speed in a straight line. blinking and after 5 sec&#44 it was blocked from view by heavy clouds. object r,,,,,,
7/6/2010,2004,Autumn,MMR,Myanmar,Yangon,16.8,96.15,Light,60,7 sequence pics of UFO taken in Burma(Myanmar),,,,,,
11/9/2004,2004,Autumn,PHL,Philippines,Mandaluyong,14.579444,121.035917,Disk,300,saucer in the sky&#33,,,,,,
4/9/2004,2004,Spring,PHL,Philippines,Mansilingan,10.640739,122.968956,Cone,10800,At exactly 10:00 p.m. me and some of my friends and neighbors have seen a coned shaped glowing object at the sky. As we looked through,,,,,,
4/9/2004,2004,Spring,PHL,Philippines,Negros Occidental,10.9,123.083333,Disk,900,brighter light,,,,,,
4/27/2004,2004,Spring,PHL,Philippines,Mansilingan,10.640739,122.968956,Circle,10,We saw a changing colors circular object here in Bacolod City,,,,,,
1/27/2005,2004,Winter,THA,Thailand,Kamphaeng Phet Province,16.414106,99.771069,Light,2700,Whilst holidaying on the island of Koh Phangan Thailand 10 of us witnessed an extra large red pulsating star like object in the sky(we,,,,,,
5/10/2004,2004,Spring,THA,Thailand,Bangkok,13.727896,100.524123,Light,900,Floating star like objects (hundreds) rising up slowly in the sky&#44 looks like small red stars visible for 10-15mins before dissapearing,,,,,,
11/9/2004,2004,Summer,THA,Thailand,Bangkok,13.727896,100.524123,Light,300,Houndreds of strance red lights floating accross the night sky.,,,,,,
5/11/2005,2005,Spring,BRN,Brunei,,4.6,114.333333,Circle,300,Circular UFO hovering in the sky and leaving afterwards.,,,,,,
5/15/2006,2005,Spring,PHL,Philippines,Basak,10.294884,123.961941,Circle,1196,This happened last May 2005. Every night I always watch the night sky to see the star&#44Polaris. But as I was wathcing the star&#44 a craft,,,,,,
